timestamp,source,scan_id,poll_interval_sec,route,direction,station_index,staCode,busPlate,status,speed
2026-07-22T22:19:54.253Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,0,M3/4,AB5496,1,22
2026-07-22T22:20:24.277Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,0,M3/4,AB5496,0,46
2026-07-22T22:20:54.264Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,0,M3/4,AB5496,0,26
2026-07-22T22:21:24.264Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,0,M3/4,AB5496,0,49
2026-07-22T22:21:54.276Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,0,M3/4,AB5496,0,48
2026-07-22T22:22:24.331Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,1,M198,AB5496,1,5
2026-07-22T22:22:54.312Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,1,M198,AB5496,0,44
2026-07-22T22:23:24.308Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,2,M186/2,AB5496,1,39
2026-07-22T22:23:54.308Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,2,M186/2,AB5496,1,39
2026-07-22T22:24:24.298Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,3,M140/2,AB5496,1,23
2026-07-22T22:24:54.312Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,3,M140/2,AB5496,1,23
2026-07-22T22:25:24.350Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,3,M140/2,AB5496,0,26
2026-07-22T22:25:54.363Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,3,M140/2,AB5496,0,26
2026-07-22T22:26:24.325Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,3,M140/2,AB5496,0,32
2026-07-22T22:26:54.366Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,4,M137/2,AB5496,1,22
2026-07-22T22:27:24.348Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,4,M137/2,AB5496,0,20
2026-07-22T22:27:54.429Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,5,M143,AB5496,1,48
2026-07-22T22:28:24.397Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,5,M143,AB5496,1,25
2026-07-22T22:28:54.416Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,5,M143,AB5496,0,37
2026-07-22T22:29:24.359Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,5,M143,AB5496,0,15
2026-07-22T22:29:54.396Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,6,M170/1,AB5496,1,29
2026-07-22T22:30:24.460Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,6,M170/1,AB5496,0,32
2026-07-22T22:30:54.426Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,7,M172/15,AB5496,1,33
2026-07-22T22:31:24.408Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,7,M172/15,AB5496,0,25
2026-07-22T22:31:54.412Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,7,M172/15,AB5496,0,44
2026-07-22T22:32:24.430Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,7,M172/15,AB5496,0,43
2026-07-22T22:32:54.438Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,7,M172/15,AB5496,0,44
2026-07-22T22:33:24.490Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,7,M172/15,AB5496,0,46
2026-07-22T22:33:54.472Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,7,M172/15,AB5496,0,48
2026-07-22T22:34:24.447Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,7,M172/15,AB5496,0,48
2026-07-22T22:34:54.470Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,7,M172/15,AB5496,0,48
2026-07-22T22:35:24.488Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,7,M172/15,AB5496,0,45
2026-07-22T22:35:54.489Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,8,T403,AB5496,1,37
2026-07-22T22:36:24.515Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,8,T403,AB5496,0,20
2026-07-22T22:36:54.532Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,8,T403,AB5496,0,2
2026-07-22T22:37:24.528Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,1,M198,AA7258,0,3
2026-07-22T22:37:24.528Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,9,T402,AB5496,0,28
2026-07-22T22:37:54.530Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,1,M198,AA7258,0,3
2026-07-22T22:37:54.530Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,10,T309,AB5496,1,9
2026-07-22T22:38:24.593Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,1,M198,AA7258,0,45
2026-07-22T22:38:24.593Z,deep_scan,20260722200921_21A-22-32-50B,30,21A,0,10,T309,AB5496,0,41
