POLE_ID,P_ALIAS,P_NAME,P_NAME_POR,P_NAME_EN,SID,ALIAS,NAME,NAME_POR,NAME_EN,ROUTE_NOS,lng,lat
7,M11_1,拱形馬路/蓮峰廟,EST. ARCO/ TEMPLO LIN FUNG,EST. ARCO/ TEMPLO LIN FUNG,7,M11,拱形馬路/蓮峰廟,EST. ARCO/ TEMPLO LIN FUNG,EST. ARCO/ TEMPLO LIN FUNG,"1A,27,28B,8,N1B",113.54833444136624,22.210181275001425
16,M22_1,青洲/聖德蘭學校,CONS. BORJA/ ESCOLA S. TERESA,CONS. BORJA/ ESCOLA S. TERESA,16,M22,青洲/聖德蘭學校,CONS. BORJA/ ESCOLA S. TERESA,CONS. BORJA/ ESCOLA S. TERESA,"101,23,26,26A,28B,5X,8,8A,N1A,N1B,N2",113.54191442666401,22.21095488728561
18,M24_1,青洲/聖若瑟中學,CONS. BORJA / COLÉGIO S. JOSÉ,CONS. BORJA / COLÉGIO S. JOSÉ,18,M24,青洲/聖若瑟中學,CONS. BORJA / COLÉGIO S. JOSÉ,CONS. BORJA / COLÉGIO S. JOSÉ,"28B,8",113.5400964987566,22.211107481928813
29,M43_1,螺絲山公園,JARDIM MONTANHA RUSSA,MONTANHA RUSSA PARK,29,M43,螺絲山公園,JARDIM MONTANHA RUSSA,MONTANHA RUSSA PARK,28C,113.55187200093417,22.20317365962197
30,M45_1,荷蘭園/栢蕙,CONS.F.ALMEIDA/ PAK WAI,CONS.F.ALMEIDA/ PAK WAI,30,M45,荷蘭園/栢蕙,CONS.F.ALMEIDA/ PAK WAI,CONS.F.ALMEIDA/ PAK WAI,"2,2A,6A",113.55038553368946,22.202884139893484
36,M51_1,東北大馬路/廣華,AV. NORDESTE/ KWONG WA,AV. NORDESTE/ KWONG WA,36,M51,東北大馬路/廣華,AV. NORDESTE/ KWONG WA,AV. NORDESTE/ KWONG WA,"102,10B,18,18A,18B,2A,34,3A",113.55619685563835,22.207719243747825
37,M52_1,漁翁街/勞工事務局,RUA DOS PESCADORES/DSAL,RUA DOS PESCADORES/DSAL,37,M52,漁翁街/勞工事務局,RUA DOS PESCADORES/DSAL,RUA DOS PESCADORES/DSAL,"10,102,10B,1A,28B,29,3A",113.56000230920401,22.204780130262975
38,M53_1,水塘北角/勞工事務局,R BEND/DSAL,R BEND / LABOUR AFFAIRS BUREAU,38,M53,水塘北角/勞工事務局,R BEND/DSAL,R BEND / LABOUR AFFAIRS BUREAU,"10,102,10B,17,17S,1A,28B,29",113.55992244112585,22.204718851419514
39,M54_1,電力公司,CEM,CEM,39,M54,電力公司,CEM,CEM,"18,18B,2,2A,6A,H2",113.55436308253726,22.203902551212515
40,M59_1,荷蘭花園,CONS.F.ALMEIDA/ HOLLAND GARDEN,CONS.F.ALMEIDA/ HOLLAND GARDEN,40,M59,荷蘭花園,CONS.F.ALMEIDA/ HOLLAND GARDEN,CONS.F.ALMEIDA/ HOLLAND GARDEN,"16,16S,2,2A,6A",113.54942350612569,22.201645514515487
58,M86_1,渡船街/俾利喇街,R. BARCA/ R. XAVIER PEREIRA,R. BARCA/ R. XAVIER PEREIRA,58,M86,渡船街/俾利喇街,R. BARCA/ R. XAVIER PEREIRA,R. BARCA/ R. XAVIER PEREIRA,"18,18A,8",113.54560919258971,22.201737347824007
59,M87_1,連勝馬路,EST. COELHO AMARAL,EST. COELHO AMARAL,59,M87,連勝馬路,EST. COELHO AMARAL,EST. COELHO AMARAL,"17,18,18B,19,7",113.5446227408574,22.20132454108261
60,M88_1,高士德/賈伯樂,HORTA COSTA/ COSTA CABRAL,HORTA COSTA/ COSTA CABRAL,60,M88,高士德/賈伯樂,HORTA COSTA/ COSTA CABRAL,HORTA COSTA/ COSTA CABRAL,"28C,32,5,65,6A,9,9A,N2",113.54795987894317,22.202193441544065
62,M92_1,俾利喇/高士德,XAVIER PEREIRA/ HORTA E COSTA,XAVIER PEREIRA/ HORTA E COSTA,62,M92,俾利喇/高士德,XAVIER PEREIRA/ HORTA E COSTA,XAVIER PEREIRA/ HORTA E COSTA,"12,18,18A,22,28C,56,8",113.5473157176457,22.203226427485
