NETWORK_ID,ROUTE_NOS,lng,lat
2405,"1,10,17,25,27,3,3A,61,MT4",,
2427,"17,17S,17T,25B,3,30,34,3X,51A,61,AP1,MT4",,
2464,25,,
2560,25,,
2561,"17,17S,17T,25B,3,30,34,3X,51A,61,AP1,MT4",,
2602,"1,10,17,17S,17T,25,25B,27,3,30,34,3A,3X,51A,61,AP1,MT4",,
2606,"1,10,17,25,27,3,3A,61,MT4",,
2626,"17S,27,30,34,3A,51A,AP1,N1A",,
2633,25,,
2658,"1,101,16S,17,25,3,3X,5,65,9,9A",,
2660,"1,16,16S,17,26,26A,28C,3,32,33,3X,4,5,65,8,8A,9,9A,N1B,N2",,
2662,"1,16,16S,26,26A,3,33,3X,6A,N1B",,
2665,"1,101,16,16S,26,26A,3,33,3X,61,6A,71S,MT4,N1B",,
2666,"1,101,16,16S,26,26A,3,33,3X,61,6A,71S,MT4,N1B",,
2730,"10,102,10B,12,17S,1A,28A,28B,29,3,32,3A,56,60,AP1,N1A",,
2739,"10,10B,25B,28A,28B,28C,29,3,32,5,6A,6B,H3",,
2744,"10,18,18A,18B,19,2,22,25,25B,3,4,5,6A,7",,
2747,"10,101,101XS,11,18,18A,18B,19,2,21A,21AT,26A,3,33,3A,3X,4,5,6A,8A,N1A,N3",,
2774,"1,101,1A,26,26A,28B,32,33,4,7,8,8A,9,9A,H2,N1A,N2",,
2785,"1,10,101,101XS,17T,18,25,27,29,3,30,34,5,65,9,9A,N1A",,
2850,"1,16,16S,26,26A,3,33,3X,6A,N1B",,
2873,"10,10B,1A,28A,28B,28C,29,3,32",,
2876,"10,10B,1A,23,28A,28B,28C,29,3,32",,
2902,"1,101,17,25,28C,3,3X,9A",,
2907,"10,102,10B,12,22,23,25,25AX,25B,28A,29,2AS,3,32,39,3A,3AX,3BX,50,50B,5X,65,6B,7,73,8,H1,H3,MT1,MT2,MT5,N1B,N2",,
2913,"10,101XS,102,10B,1A,25AX,28A,28B,29,2AS,3,32,3A,3BX,56,73,AP1,N1A",,
2915,"17S,27,30,34,3A,51A,AP1,N1A",,
2919,"10B,12,18,18B,19,2,22,30,34,3A,6A,7,N1A",,
2922,"103,10B,17S,18,18A,18B,27,2A,2AS,3A,51A,73,AP1,N1A",,
