timestamp,route,direction,staCode,busPlate,status,speed
2026-07-06T09:15:30.289253+08:00,16S,0,M7/2,AA7600,1,21
2026-07-06T09:15:30.289253+08:00,16S,0,M139/1,AA7728,0,29
2026-07-06T09:15:30.289253+08:00,16S,0,M144/3,MZ9937,0,21
2026-07-06T09:15:30.289253+08:00,16S,0,M97,MZ9658,0,27
2026-07-06T09:16:47.158952+08:00,16S,0,M7/2,AA7600,1,21
2026-07-06T09:16:47.158952+08:00,16S,0,M188,AA7728,1,29
2026-07-06T09:16:47.158952+08:00,16S,0,M76/2,MZ9937,1,21
2026-07-06T09:16:47.158952+08:00,16S,0,M106,MZ9658,1,27
2026-07-06T09:17:57.415166+08:00,16S,0,M18/1,MZ8693,1,13
2026-07-06T09:17:57.415166+08:00,16S,0,M7/2,AA7600,1,21
2026-07-06T09:17:57.415166+08:00,16S,0,M188,AA7728,0,29
2026-07-06T09:17:57.415166+08:00,16S,0,M76/2,MZ9937,1,21
2026-07-06T09:17:57.415166+08:00,16S,0,M106,MZ9658,1,27
2026-07-06T09:19:09.877172+08:00,16S,0,M18/1,MZ8693,0,13
2026-07-06T09:19:09.877172+08:00,16S,0,M7/2,AA7600,1,21
2026-07-06T09:19:09.877172+08:00,16S,0,M277,AA7728,1,29
2026-07-06T09:19:09.877172+08:00,16S,0,M59,MZ9937,1,21
2026-07-06T09:19:09.877172+08:00,16S,0,M106,MZ9658,0,27
2026-07-06T09:20:20.053637+08:00,16S,0,M4/2,MZ8693,0,13
2026-07-06T09:20:20.053637+08:00,16S,0,M7/2,AA7600,1,21
2026-07-06T09:20:20.053637+08:00,16S,0,M277,AA7728,0,29
2026-07-06T09:20:20.053637+08:00,16S,0,M59,MZ9937,0,21
2026-07-06T09:20:20.053637+08:00,16S,0,M274,MZ9658,1,27
