timestamp,route,direction,staCode,busPlate,status,speed
2026-07-06T18:15:40.876482+08:00,25BS,0,T560/1,AB5774,0,14
2026-07-06T18:15:40.876482+08:00,25BS,0,T375,AB4719,1,29
2026-07-06T18:15:40.876482+08:00,25BS,0,T355/2,AB5536,0,12
2026-07-06T18:16:55.925272+08:00,25BS,0,T372,AB5774,0,14
2026-07-06T18:16:55.925272+08:00,25BS,0,T375,AB4719,0,29
2026-07-06T18:16:55.925272+08:00,25BS,0,T560/1,AB5536,1,
2026-07-06T18:18:07.571045+08:00,25BS,0,T376/2,AB5774,1,14
2026-07-06T18:18:07.571045+08:00,25BS,0,T380,AB4719,1,29
2026-07-06T18:18:07.571045+08:00,25BS,0,T560/1,AB5536,1,
2026-07-06T18:19:16.550998+08:00,25BS,0,T376/2,AB5774,0,14
2026-07-06T18:19:16.550998+08:00,25BS,0,T379,AB4719,0,29
2026-07-06T18:19:16.550998+08:00,25BS,0,T560/1,AB5536,1,
2026-07-06T18:20:25.523296+08:00,25BS,0,T376/2,AB5774,0,14
2026-07-06T18:20:25.523296+08:00,25BS,0,T359,AB4719,0,29
2026-07-06T18:20:25.523296+08:00,25BS,0,T560/1,AB5536,1,
